train_0.txt;0;4;18;156;994;2934;4010;0.622;0.922;
train_1.txt;0;1;23;174;980;2841;4099;0.615;0.922;
train_2.txt;0;3;23;159;827;2948;4155;0.589;0.922;
train_3.txt;0;2;27;185;834;2717;4351;0.574;0.922;
train_4.txt;0;1;26;184;843;2621;4440;0.564;0.922;
train_5.txt;0;17;130;586;1615;2659;2100;0.937;0.807;
train_6.txt;0;4;124;557;1664;2711;2041;0.934;0.806;
train_7.txt;0;6;121;569;1427;2555;2426;0.867;0.807;
train_8.txt;0;11;98;522;1328;2563;2581;0.821;0.807;
train_9.txt;0;12;105;490;1342;2446;2708;0.804;0.807;
train_10.txt;0;28;286;963;1866;2043;902;1.13;0.691;
train_11.txt;0;23;256;906;1785;2019;1113;1.073;0.693;
train_12.txt;0;24;248;876;1635;2050;1260;1.029;0.692;
train_13.txt;0;19;220;747;1576;2022;1505;0.953;0.691;
train_14.txt;0;13;185;703;1492;2096;1618;0.908;0.693;
train_15.txt;1;79;531;1203;1640;1226;404;1.209;0.577;
train_16.txt;2;50;402;1119;1597;1403;499;1.116;0.576;
train_17.txt;1;31;326;1003;1588;1420;718;1.03;0.578;
train_18.txt;1;38;274;877;1563;1479;872;0.969;0.58;
train_19.txt;0;17;261;824;1472;1631;907;0.929;0.58;
train_20.txt;8;112;721;1260;1189;642;135;1.169;0.462;
train_21.txt;1;65;601;1187;1268;758;187;1.089;0.462;
train_22.txt;0;46;488;1149;1322;811;243;1.032;0.461;
train_23.txt;1;42;343;942;1276;1054;437;0.911;0.465;
train_24.txt;2;34;335;868;1200;1090;540;0.865;0.462;
train_25.txt;3;136;836;983;725;311;54;0.994;0.346;
train_26.txt;3;58;641;1080;853;354;76;0.928;0.348;
train_27.txt;0;72;541;971;890;477;101;0.874;0.346;
train_28.txt;1;43;447;904;1029;515;146;0.828;0.35;
train_29.txt;0;41;290;690;913;725;391;0.68;0.346;
train_30.txt;6;174;771;657;317;95;10;0.76;0.23;
train_31.txt;2;76;651;738;428;140;15;0.705;0.232;
train_32.txt;0;63;456;744;536;197;35;0.64;0.23;
train_33.txt;0;39;353;639;634;294;91;0.577;0.232;
train_34.txt;1;47;344;656;541;311;138;0.565;0.231;
train_35.txt;8;115;540;262;85;13;1;0.426;0.116;
train_36.txt;1;51;363;396;194;25;3;0.376;0.117;
train_37.txt;0;36;276;415;261;73;6;0.355;0.121;
train_38.txt;1;46;288;347;217;101;19;0.336;0.115;
train_39.txt;0;13;175;339;299;142;58;0.286;0.116;
train_40.txt;0;2;26;161;984;2907;4035;0.621;0.922;
train_41.txt;0;0;21;164;885;3076;3972;0.616;0.922;
train_42.txt;0;1;24;202;862;2787;4239;0.592;0.922;
train_43.txt;0;1;24;195;906;2582;4407;0.577;0.922;
train_44.txt;0;1;15;163;808;2630;4509;0.545;0.923;
train_45.txt;0;14;141;566;1619;2664;2097;0.935;0.806;
train_46.txt;0;9;122;560;1515;2645;2251;0.896;0.807;
train_47.txt;1;10;94;559;1483;2603;2351;0.872;0.806;
train_48.txt;0;5;108;484;1438;2557;2512;0.834;0.807;
train_49.txt;0;9;102;484;1318;2573;2624;0.808;0.807;
train_50.txt;0;43;279;1009;1797;1940;1019;1.124;0.691;
train_51.txt;2;25;263;856;1675;2083;1185;1.044;0.691;
train_52.txt;0;17;230;843;1712;2006;1278;1.018;0.691;
