[1/1000][0/11] Loss_D: 1.4664 Loss_G: 0.8600 D(x): 0.5948 D(G(z)): 0.5024 / 0.4893
[1/1000][1/11] Loss_D: 1.6694 Loss_G: 0.7342 D(x): 0.5723 D(G(z)): 0.5667 / 0.5347
[1/1000][2/11] Loss_D: 1.9669 Loss_G: 0.5518 D(x): 0.5745 D(G(z)): 0.6557 / 0.6194
[1/1000][3/11] Loss_D: 2.2351 Loss_G: 0.4723 D(x): 0.5306 D(G(z)): 0.7167 / 0.6578
[1/1000][4/11] Loss_D: 2.3383 Loss_G: 0.3523 D(x): 0.5696 D(G(z)): 0.7306 / 0.7232
[1/1000][5/11] Loss_D: 2.5143 Loss_G: 0.3633 D(x): 0.5524 D(G(z)): 0.7667 / 0.7290
[1/1000][6/11] Loss_D: 2.6158 Loss_G: 0.2975 D(x): 0.5148 D(G(z)): 0.7754 / 0.7695
[1/1000][7/11] Loss_D: 2.7909 Loss_G: 0.2705 D(x): 0.5469 D(G(z)): 0.8267 / 0.7786
[1/1000][8/11] Loss_D: 2.7882 Loss_G: 0.2536 D(x): 0.5355 D(G(z)): 0.8088 / 0.7935
[1/1000][9/11] Loss_D: 2.9535 Loss_G: 0.2297 D(x): 0.5004 D(G(z)): 0.8391 / 0.8064
[1/1000][10/11] Loss_D: 3.2289 Loss_G: 0.1896 D(x): 0.4498 D(G(z)): 0.8480 / 0.8363
[2/1000][0/11] Loss_D: 3.1147 Loss_G: 0.2243 D(x): 0.5285 D(G(z)): 0.8596 / 0.8185
[2/1000][1/11] Loss_D: 3.0243 Loss_G: 0.2118 D(x): 0.5358 D(G(z)): 0.8606 / 0.8250
[2/1000][2/11] Loss_D: 3.2113 Loss_G: 0.1867 D(x): 0.4692 D(G(z)): 0.8630 / 0.8420
[2/1000][3/11] Loss_D: 3.2271 Loss_G: 0.1948 D(x): 0.4685 D(G(z)): 0.8552 / 0.8376
[2/1000][4/11] Loss_D: 3.3011 Loss_G: 0.1847 D(x): 0.4654 D(G(z)): 0.8725 / 0.8430
[2/1000][5/11] Loss_D: 3.3132 Loss_G: 0.1992 D(x): 0.4895 D(G(z)): 0.8801 / 0.8412
