[4/1000][10/11] Loss_D: 3.9226 Loss_G: 0.1009 D(x): 0.4048 D(G(z)): 0.9260 / 0.9075
[5/1000][0/11] Loss_D: 3.8653 Loss_G: 0.1135 D(x): 0.3578 D(G(z)): 0.9078 / 0.8968
[5/1000][1/11] Loss_D: 3.6904 Loss_G: 0.1392 D(x): 0.4051 D(G(z)): 0.9072 / 0.8763
[5/1000][2/11] Loss_D: 3.9546 Loss_G: 0.1588 D(x): 0.3608 D(G(z)): 0.9129 / 0.8634
[5/1000][3/11] Loss_D: 3.9857 Loss_G: 0.1255 D(x): 0.3220 D(G(z)): 0.9091 / 0.8876
[5/1000][4/11] Loss_D: 3.9040 Loss_G: 0.1185 D(x): 0.3798 D(G(z)): 0.9065 / 0.8919
[5/1000][5/11] Loss_D: 3.8942 Loss_G: 0.1163 D(x): 0.3627 D(G(z)): 0.9023 / 0.8968
[5/1000][6/11] Loss_D: 3.8917 Loss_G: 0.1312 D(x): 0.3589 D(G(z)): 0.9023 / 0.8836
[5/1000][7/11] Loss_D: 3.8345 Loss_G: 0.1300 D(x): 0.3630 D(G(z)): 0.9037 / 0.8874
[5/1000][8/11] Loss_D: 3.9433 Loss_G: 0.1348 D(x): 0.3408 D(G(z)): 0.9138 / 0.8791
[5/1000][9/11] Loss_D: 3.9457 Loss_G: 0.1402 D(x): 0.3592 D(G(z)): 0.9023 / 0.8753
[5/1000][10/11] Loss_D: 3.9776 Loss_G: 0.1067 D(x): 0.3489 D(G(z)): 0.9078 / 0.9018
[6/1000][0/11] Loss_D: 4.1254 Loss_G: 0.1536 D(x): 0.2992 D(G(z)): 0.9090 / 0.8657
[6/1000][1/11] Loss_D: 3.8961 Loss_G: 0.1168 D(x): 0.3432 D(G(z)): 0.8966 / 0.8963
[6/1000][2/11] Loss_D: 3.8591 Loss_G: 0.1082 D(x): 0.3654 D(G(z)): 0.9075 / 0.9003
[6/1000][3/11] Loss_D: 3.9546 Loss_G: 0.1166 D(x): 0.3438 D(G(z)): 0.9087 / 0.8952
[6/1000][4/11] Loss_D: 4.1012 Loss_G: 0.1404 D(x): 0.3204 D(G(z)): 0.9098 / 0.8757
[6/1000][5/11] Loss_D: 3.7946 Loss_G: 0.1146 D(x): 0.3318 D(G(z)): 0.8929 / 0.8971
[6/1000][6/11] Loss_D: 3.9504 Loss_G: 0.1302 D(x): 0.3681 D(G(z)): 0.9061 / 0.8839
[6/1000][7/11] Loss_D: 3.9319 Loss_G: 0.1380 D(x): 0.3312 D(G(z)): 0.9055 / 0.8775
[6/1000][8/11] Loss_D: 3.7090 Loss_G: 0.1524 D(x): 0.3650 D(G(z)): 0.8948 / 0.8662
[6/1000][9/11] Loss_D: 4.2483 Loss_G: 0.1247 D(x): 0.3044 D(G(z)): 0.9230 / 0.8874
[6/1000][10/11] Loss_D: 3.8562 Loss_G: 0.1187 D(x): 0.3512 D(G(z)): 0.9058 / 0.8933
[7/1000][0/11] Loss_D: 4.0532 Loss_G: 0.1192 D(x): 0.3270 D(G(z)): 0.9147 / 0.8923
[7/1000][1/11] Loss_D: 3.8884 Loss_G: 0.1266 D(x): 0.3397 D(G(z)): 0.8999 / 0.8880
